[2020-04-20 23:33:18,375 line 38] all the categories inserted in category successfully
[2020-04-20 23:41:19,740 line 221] No ranking in world
[2020-04-20 23:41:19,740 line 174] 1129952850: row inserted in app_country_rank table 

[2020-04-20 23:41:19,740 line 69] Scrapping in: Belize/Books/free
[2020-04-20 23:41:21,343 line 241] 329191008 row inserted in dev table
[2020-04-20 23:41:21,343 line 246] Dev info ok
[2020-04-20 23:41:21,355 line 151] 329752728: Data from main tab ok
[2020-04-20 23:41:21,457 line 192] Top rankings ok
[2020-04-20 23:41:22,366 line 275] Twitter information inserted in database for 329752728
[2020-04-20 23:41:22,750 line 171] 329752728-Productivity:2 inserted in app_category table successfully
[2020-04-20 23:41:22,754 line 171] 329752728-Books:29 inserted in app_category table successfully
